continent,reg1,reg2,country,exp_pct_gdp,exp_public_pct,exp_out_pocket,exp_per_capita,exp_per_ppp,ext_health_exp,phys_per_1000,nurse_per_1000,surgical_per_1000,birth_reg,death_reg
North America,Latin America and the Caribbean,Caribbean,Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98,
Asia,,Eastern Asia,Japan,10.9,83.6,13.5,4233,4592.4,0,2.4,11.5,37.4,100,100
Asia,,Western Asia,Jordan,5.5,63.2,28,223.5,494.8,5.7,2.3,3.4,24.5,98,65
Asia,,Central Asia,Kazakhstan,3.5,58.8,35.6,262,858.8,1.2,3.3,8.5,73.2,100,91
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,
Asia,,Eastern Asia,Korea,7.3,59.2,33.3,2043.9,2711.7,0,2.4,7,49.6,,99
Asia,,Western Asia,Kuwait,3.9,83.9,16.1,1068.3,2899.3,0,2.6,7,,,95
Asia,,Central Asia,Kyrgyzstan,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98,96
Europe,,Northern Europe,Latvia,6.2,54.6,44.6,874.2,1589.7,0,3.2,4.8,67.6,100,100
Asia,,Western Asia,Lebanon,8,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100,
Africa,Sub-Saharan Africa,Western Africa,Liberia,9.6,14.2,47.3,68.3,133.1,30.1,0,0.1,0.6,24.6,
Africa,,Northern Africa,Libya,,,,,,,2.2,6.7,,,
Europe,,Western Europe,Liechtenstein,,,,,,,,,71.9,100,
Europe,,Northern Europe,Lithuania,6.7,65.6,32.3,987.9,1978.3,1,4.3,7.9,130.9,100,100
Europe,,Western Europe,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3,12.3,80.8,100,100
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,6,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83,
Asia,,South-eastern Asia,Malaysia,3.8,50.5,37.6,361.5,1052.5,0,1.5,4.1,11.4,,56
Asia,,Southern Asia,Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,1,4,4.8,98.8,84
Africa,Sub-Saharan Africa,Western Africa,Mali,3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,
Europe,,Southern Europe,Malta,9.3,63.1,34.8,2327.8,3511.1,0,3.8,9,113.5,100,99.9
Africa,Sub-Saharan Africa,Western Africa,Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,0.2,1,,66,
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,2,3.4,17.6,,100
North America,Latin America and the Caribbean,Central America,Mexico,5.5,52.1,40.4,461.8,971.8,,2.2,2.9,,95,99
Europe,,Eastern Europe,Moldova,9,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100,90
Europe,,Western Europe,Monaco,1.7,79.6,7.1,2939.8,3019.1,,6.6,20.3,195.6,100,80
Asia,,Eastern Asia,Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,2.9,4,45,99,92
Europe,,Southern Europe,Montenegro,7.6,75,24.1,531.7,1333.9,0.4,2.3,5.7,64.1,99,100
